Population,Treatment,Treatment Name,Replicate,Tag,Date,DOY,Pressure (Bar),,,,,,,,,,,,,,,,,,,,,
CF,2,Wet,1,CF 2-1,7/31/17,212,11.5,,,,,,,,,,,,,,,,,,,,,
TL,2,Wet,1,TL 2-1,7/31/17,212,17.5,,,,,,,,,,,,,,,,,,,,,
SG,2,Wet,1,SG 2-1,7/31/17,212,12,,,,,,,,,,,,,,,,,,,,,
CF,1,Dry,1,CF 1-1,7/31/17,212,13,,,,,,,,,,,,,,,,,,,,,
TL,1,Dry,1,TL 1-1,7/31/17,212,13,,,,,,,,,,,,,,,,,,,,,
SG,1,Dry,1,SG 1-1,7/31/17,212,11,,,,,,,,,,,,,,,,,,,,,
CF,3,Deep,1,CF 3-1,7/31/17,212,10.5,,,,,,,,,,,,,,,,,,,,,
TL,3,Deep,1,TL 3-1,7/31/17,212,13,,,,,,,,,,,,,,,,,,,,,
SG,3,Deep,1,SG 3-1,7/31/17,212,16,,,,,,,,,,,,,,,,,,,,,
CF,2,Wet,2,CF 2-2,7/31/17,212,15,,,,,,,,,,,,,,,,,,,,,
TL,2,Wet,2,TL 2-2,7/31/17,212,14,,,,,,,,,,,,,,,,,,,,,
SG,2,Wet,2,SG 2-2,7/31/17,212,21,,,,,,,,,,,,,,,,,,,,,
CF,1,Dry,2,CF 1-2,7/31/17,212,17,,,,,,,,,,,,,,,,,,,,,
TL,1,Dry,2,TL 1-2,7/31/17,212,14.5,,,,,,,,,,,,,,,,,,,,,
SG,1,Dry,2,SG 1-2,7/31/17,212,14,,,,,,,,,,,,,,,,,,,,,
CF,3,Deep,2,CF 3-2,7/31/17,212,14.5,,,,,,,,,,,,,,,,,,,,,
TL,3,Deep,2,TL 3-2,7/31/17,212,9.5,,,,,,,,,,,,,,,,,,,,,
SG,3,Deep,2,SG 3-2,7/31/17,212,16.5,,,,,,,,,,,,,,,,,,,,,
CF,2,Wet,3,CF 2-3,7/31/17,212,14.5,,,,,,,,,,,,,,,,,,,,,
TL,2,Wet,3,TL 2-3,7/31/17,212,12,,,,,,,,,,,,,,,,,,,,,
SG,2,Wet,3,SG 2-3,7/31/17,212,17,,,,,,,,,,,,,,,,,,,,,
