"","Unique.ID","Vcmax","Jmax","Rd","Vcmax_SE","Jmax_SE","Rd_SE"
"1","CF 1-3_171803",71.7732234400363,235.828705901592,5.80382281558882,1.30622463715108,7.79078845559486,0.410285503986408
"2","CF 1-3_17802",21.8637218023943,67.9966526724129,2.68876396890988,0.852916394729254,NA,0.182855329623905
"3","CF 1-6_17802",61.1225361690596,176.672431895551,3.99168506014414,2.83779450304087,NA,0.668904696347271
"4","CF 2-1_17802",48.7457223366975,147.679436626066,1.28731727792519,1.79125907893434,NA,0.354788291189965
"5","CF 2-3_171803",61.72805090411,186.390700942349,7.30976993516238,2.63862634719868,9.93673162255535,0.848996138858797
"6","CF 2-3_17802",38.4289090704936,117.173194866873,4.46744101801822,1.31454776579663,4.65941965704644,0.468973431322592
"7","CF 3-4_17802",17.4372091445014,42.9957065202689,2.10061708112626,1.15696683496345,NA,0.443329542484776
"8","CF 3-5_17802",22.5809195771128,62.0338655132963,1.5723329165916,4.41900534392992,12.1235894706262,1.47615004717888
"9","SG 1-2_171803",88.8665694872036,249.026672430254,5.798095409035,1.80955054662578,5.30701887172626,0.448871756782747
"10","SG 1-2_17802",37.9694650155742,107.985707966763,3.27531350993972,1.83066533271024,NA,0.369482041010659
"11","SG 1-4_17802",59.9664372165231,185.309900856917,4.28164373925658,4.55877710262011,NA,0.927979062535696
"12","SG 2-4_17802",77.082979770879,208.934614467899,2.32247700013746,1.9427471840248,6.91969738080256,0.494192573786081
"13","SG 2-5_171803",58.1768385580326,189.056712619324,6.32866339104417,2.56197534621683,15.8411828696268,0.84878108423375
"14","SG 2-5_17802",34.2840934253913,103.082043680756,2.78149532910966,2.91959412143555,NA,0.416968094907392
"15","SG 3-1_17802",34.1030935927057,84.2003524863562,1.82715126424749,1.94263170243106,5.32815925658023,0.523687809265848
"16","SG 3-4_17802",68.164905210129,178.671007893055,3.65666264249518,1.88871400709119,NA,0.545022340203396
"17","TL 1-4_17802",24.9352293618662,75.2003187669908,4.07280064420785,3.15658494488871,NA,0.712724239701822
"18","TL 1-5_171803",74.6436899648555,214.976867972104,6.72589197214707,2.79747058031741,NA,0.757829977528554
"19","TL 1-6_17802",75.2135392102581,198.131961605266,2.42045803543728,3.41662591558375,8.31076830455244,0.831979109174441
"20","TL 2-2_171803",26.4065448073061,82.538297791821,5.07553847893186,2.90299600194253,NA,0.720823947958051
"21","TL 2-2_17802",69.295838350442,185.225209870563,6.35616192806585,9.96294901709997,22.3879651444786,2.51481895058433
"22","TL 2-3_17802",44.9877482422663,122.906620709974,1.93029811067325,1.15801914025952,3.49784578162146,0.341433162816021
"23","TL 3-3_17802",60.1595975863347,163.300371757477,3.62385763267231,3.58154592523645,NA,0.685181349745543
"24","TL 3-4_17802",53.7536197518854,148.487174163265,2.27425300189761,1.74627231298061,NA,0.50289610273316
